emoji,emoji_names,raw
😱,face_screaming_in_fear,<U+0001F631>
😖,confounded_face,<U+0001F616>
😣,persevering_face,<U+0001F623>
😞,disappointed_face,<U+0001F61E>
😓,downcast_face_with_sweat,<U+0001F613>
😩,weary_face,<U+0001F629>
😫,tired_face,<U+0001F62B>
🥱,yawning_face,<U+0001F971>
😤,face_with_steam_from_nose,<U+0001F624>
😡,pouting_face,<U+0001F621>
😠,angry_face,<U+0001F620>
🤬,face_with_symbols_on_mouth,<U+0001F92C>
😈,smiling_face_with_horns,<U+0001F608>
👿,angry_face_with_horns,<U+0001F47F>
💀,skull,<U+0001F480>
☠️,skull_and_crossbones,<U+2620><U+FE0F>
💩,pile_of_poo,<U+0001F4A9>
🤡,clown_face,<U+0001F921>
👹,ogre,<U+0001F479>
👺,goblin,<U+0001F47A>
👻,ghost,<U+0001F47B>
👽,alien,<U+0001F47D>
👾,alien_monster,<U+0001F47E>
🤖,robot,<U+0001F916>
😺,grinning_cat,<U+0001F63A>
😸,grinning_cat_with_smiling_eyes,<U+0001F638>
😹,cat_with_tears_of_joy,<U+0001F639>
😻,smiling_cat_with_heart_eyes,<U+0001F63B>
😼,cat_with_wry_smile,<U+0001F63C>
😽,kissing_cat,<U+0001F63D>
🙀,weary_cat,<U+0001F640>
😿,crying_cat,<U+0001F63F>
😾,pouting_cat,<U+0001F63E>
🙈,see_no_evil_monkey,<U+0001F648>
🙉,hear_no_evil_monkey,<U+0001F649>
🙊,speak_no_evil_monkey,<U+0001F64A>
💋,kiss_mark,<U+0001F48B>
💌,love_letter,<U+0001F48C>
💘,heart_with_arrow,<U+0001F498>
💝,heart_with_ribbon,<U+0001F49D>
💖,sparkling_heart,<U+0001F496>
💗,growing_heart,<U+0001F497>
💓,beating_heart,<U+0001F493>
💞,revolving_hearts,<U+0001F49E>
💕,two_hearts,<U+0001F495>
💟,heart_decoration,<U+0001F49F>
❣️,heart_exclamation,<U+2763><U+FE0F>
💔,broken_heart,<U+0001F494>
❤️,red_heart,<U+2764>
🧡,orange_heart,<U+0001F9E1>
💛,yellow_heart,<U+0001F49B>
💚,green_heart,<U+0001F49A>
💙,blue_heart,<U+0001F499>
💜,purple_heart,<U+0001F49C>
🤎,brown_heart,<U+0001F90E>
🖤,black_heart,<U+0001F5A4>
🤍,white_heart,<U+0001F90D>
💯,hundred_points,<U+0001F4AF>
💢,anger_symbol,<U+0001F4A2>
💥,collision,<U+0001F4A5>
💫,dizzy,<U+0001F4AB>
💦,sweat_droplets,<U+0001F4A6>
💨,dashing_away,<U+0001F4A8>
🕳️,hole,<U+0001F573><U+FE0F>
💣,bomb,<U+0001F4A3>
💬,speech_balloon,<U+0001F4AC>
👁️‍🗨️,eye_in_speech_bubble,<U+0001F441><U+FE0F><U+200D><U+0001F5E8><U+FE0F>
🗨️,left_speech_bubble,<U+0001F5E8><U+FE0F>
🗯️,right_anger_bubble,<U+0001F5EF><U+FE0F>
💭,thought_balloon,<U+0001F4AD>
💤,zzz,<U+0001F4A4>
👋,waving_hand,<U+0001F44B>
🤚,raised_back_of_hand,<U+0001F91A>
🖐️,hand_with_fingers_splayed,<U+0001F590><U+FE0F>
✋,raised_hand,<U+270B>
🖖,vulcan_salute,<U+0001F596>
👌,ok_hand,<U+0001F44C>
🤏,pinching_hand,<U+0001F90F>
✌️,victory_hand,<U+270C><U+FE0F>
🤞,crossed_fingers,<U+0001F91E>
🤟,love_you_gesture,<U+0001F91F>
🤘,sign_of_the_horns,<U+0001F918>
🤙,call_me_hand,<U+0001F919>
👈,backhand_index_pointing_left,<U+0001F448>
👉,backhand_index_pointing_right,<U+0001F449>
👆,backhand_index_pointing_up,<U+0001F446>
🖕,middle_finger,<U+0001F595>
👇,backhand_index_pointing_down,<U+0001F447>
☝️,index_pointing_up,<U+261D><U+FE0F>
👍,thumbs_up,<U+0001F44D>
👎,thumbs_down,<U+0001F44E>
✊,raised_fist,<U+270A>
👊,oncoming_fist,<U+0001F44A>
🤛,left_facing_fist,<U+0001F91B>
🤜,right_facing_fist,<U+0001F91C>
👏,clapping_hands,<U+0001F44F>
🙌,raising_hands,<U+0001F64C>
👐,open_hands,<U+0001F450>
🤲,palms_up_together,<U+0001F932>
🤝,handshake,<U+0001F91D>
🙏,folded_hands,<U+0001F64F>
✍️,writing_hand,<U+270D><U+FE0F>
💅,nail_polish,<U+0001F485>
🤳,selfie,<U+0001F933>
💪,flexed_biceps,<U+0001F4AA>
🦾,mechanical_arm,<U+0001F9BE>
🦿,mechanical_leg,<U+0001F9BF>
🦵,leg,<U+0001F9B5>
🦶,foot,<U+0001F9B6>
👂,ear,<U+0001F442>
🦻,ear_with_hearing_aid,<U+0001F9BB>
👃,nose,<U+0001F443>
🧠,brain,<U+0001F9E0>
🦷,tooth,<U+0001F9B7>
🦴,bone,<U+0001F9B4>
👀,eyes,<U+0001F440>
👁️,eye,<U+0001F441><U+FE0F>
👅,tongue,<U+0001F445>
👄,mouth,<U+0001F444>
👶,baby,<U+0001F476>
🧒,child,<U+0001F9D2>
👦,boy,<U+0001F466>
👧,girl,<U+0001F467>
🧑,person,<U+0001F9D1>
👱,person_blond_hair,<U+0001F471>
👨,man,<U+0001F468>
🧔,man_beard,<U+0001F9D4>
👨‍🦰,man_red_hair,<U+0001F468><U+200D><U+0001F9B0>
👨‍🦱,man_curly_hair,<U+0001F468><U+200D><U+0001F9B1>
👨‍🦳,man_white_hair,<U+0001F468><U+200D><U+0001F9B3>
👨‍🦲,man_bald,<U+0001F468><U+200D><U+0001F9B2>
👩,woman,<U+0001F469>
👩‍🦰,woman_red_hair,<U+0001F469><U+200D><U+0001F9B0>
🧑‍🦰,person_red_hair,<U+0001F9D1><U+200D><U+0001F9B0>
👩‍🦱,woman_curly_hair,<U+0001F469><U+200D><U+0001F9B1>
🧑‍🦱,person_curly_hair,<U+0001F9D1><U+200D><U+0001F9B1>
👩‍🦳,woman_white_hair,<U+0001F469><U+200D><U+0001F9B3>
🧑‍🦳,person_white_hair,<U+0001F9D1><U+200D><U+0001F9B3>
👩‍🦲,woman_bald,<U+0001F469><U+200D><U+0001F9B2>
🧑‍🦲,person_bald,<U+0001F9D1><U+200D><U+0001F9B2>
👱‍♀️,woman_blond_hair,<U+0001F471><U+200D>+<U+FE0F>
👱‍♂️,man_blond_hair,<U+0001F471><U+200D>><U+FE0F>
🧓,older_person,<U+0001F9D3>
👴,old_man,<U+0001F474>
👵,old_woman,<U+0001F475>
🙍,person_frowning,<U+0001F64D>
🙍‍♂️,man_frowning,<U+0001F64D><U+200D>><U+FE0F>
🙍‍♀️,woman_frowning,<U+0001F64D><U+200D>+<U+FE0F>
🙎,person_pouting,<U+0001F64E>
🙎‍♂️,man_pouting,<U+0001F64E><U+200D>><U+FE0F>
🙎‍♀️,woman_pouting,<U+0001F64E><U+200D>+<U+FE0F>
🙅,person_gesturing_no,<U+0001F645>
🙅‍♂️,man_gesturing_no,<U+0001F645><U+200D>><U+FE0F>
🙅‍♀️,woman_gesturing_no,<U+0001F645><U+200D>+<U+FE0F>
🙆,person_gesturing_ok,<U+0001F646>
🙆‍♂️,man_gesturing_ok,<U+0001F646><U+200D>><U+FE0F>
🙆‍♀️,woman_gesturing_ok,<U+0001F646><U+200D>+<U+FE0F>
💁,person_tipping_hand,<U+0001F481>
💁‍♂️,man_tipping_hand,<U+0001F481><U+200D>><U+FE0F>
💁‍♀️,woman_tipping_hand,<U+0001F481><U+200D>+<U+FE0F>
🙋,person_raising_hand,<U+0001F64B>
🙋‍♂️,man_raising_hand,<U+0001F64B><U+200D>><U+FE0F>
🙋‍♀️,woman_raising_hand,<U+0001F64B><U+200D>+<U+FE0F>
🧏,deaf_person,<U+0001F9CF>
🧏‍♂️,deaf_man,<U+0001F9CF><U+200D>><U+FE0F>
🧏‍♀️,deaf_woman,<U+0001F9CF><U+200D>+<U+FE0F>
🙇,person_bowing,<U+0001F647>
🙇‍♂️,man_bowing,<U+0001F647><U+200D>><U+FE0F>
🙇‍♀️,woman_bowing,<U+0001F647><U+200D>+<U+FE0F>
🤦,person_facepalming,<U+0001F926>
🤦‍♂️,man_facepalming,<U+0001F926><U+200D>><U+FE0F>
🤦‍♀️,woman_facepalming,<U+0001F926><U+200D>+<U+FE0F>
🤷,person_shrugging,<U+0001F937>
🤷‍♂️,man_shrugging,<U+0001F937><U+200D>><U+FE0F>
🤷‍♀️,woman_shrugging,<U+0001F937><U+200D>+<U+FE0F>
🧑‍⚕️,health_worker,<U+0001F9D1><U+200D><U+2695><U+FE0F>
👨‍⚕️,man_health_worker,<U+0001F468><U+200D><U+2695><U+FE0F>
👩‍⚕️,woman_health_worker,<U+0001F469><U+200D><U+2695><U+FE0F>
🧑‍🎓,student,<U+0001F9D1><U+200D><U+0001F393>
👨‍🎓,man_student,<U+0001F468><U+200D><U+0001F393>
👩‍🎓,woman_student,<U+0001F469><U+200D><U+0001F393>
🧑‍🏫,teacher,<U+0001F9D1><U+200D><U+0001F3EB>
👨‍🏫,man_teacher,<U+0001F468><U+200D><U+0001F3EB>
👩‍🏫,woman_teacher,<U+0001F469><U+200D><U+0001F3EB>
🧑‍⚖️,judge,<U+0001F9D1><U+200D><U+2696><U+FE0F>
👨‍⚖️,man_judge,<U+0001F468><U+200D><U+2696><U+FE0F>
👩‍⚖️,woman_judge,<U+0001F469><U+200D><U+2696><U+FE0F>
🧑‍🌾,farmer,<U+0001F9D1><U+200D><U+0001F33E>
👨‍🌾,man_farmer,<U+0001F468><U+200D><U+0001F33E>
👩‍🌾,woman_farmer,<U+0001F469><U+200D><U+0001F33E>
🧑‍🍳,cook,<U+0001F9D1><U+200D><U+0001F373>
👨‍🍳,man_cook,<U+0001F468><U+200D><U+0001F373>
👩‍🍳,woman_cook,<U+0001F469><U+200D><U+0001F373>
🧑‍🔧,mechanic,<U+0001F9D1><U+200D><U+0001F527>
👨‍🔧,man_mechanic,<U+0001F468><U+200D><U+0001F527>
👩‍🔧,woman_mechanic,<U+0001F469><U+200D><U+0001F527>
🧑‍🏭,factory_worker,<U+0001F9D1><U+200D><U+0001F3ED>
👨‍🏭,man_factory_worker,<U+0001F468><U+200D><U+0001F3ED>
👩‍🏭,woman_factory_worker,<U+0001F469><U+200D><U+0001F3ED>
🧑‍💼,office_worker,<U+0001F9D1><U+200D><U+0001F4BC>
👨‍💼,man_office_worker,<U+0001F468><U+200D><U+0001F4BC>
👩‍💼,woman_office_worker,<U+0001F469><U+200D><U+0001F4BC>
🧑‍🔬,scientist,<U+0001F9D1><U+200D><U+0001F52C>
👨‍🔬,man_scientist,<U+0001F468><U+200D><U+0001F52C>
👩‍🔬,woman_scientist,<U+0001F469><U+200D><U+0001F52C>
🧑‍💻,technologist,<U+0001F9D1><U+200D><U+0001F4BB>
👨‍💻,man_technologist,<U+0001F468><U+200D><U+0001F4BB>
👩‍💻,woman_technologist,<U+0001F469><U+200D><U+0001F4BB>
🧑‍🎤,singer,<U+0001F9D1><U+200D><U+0001F3A4>
👨‍🎤,man_singer,<U+0001F468><U+200D><U+0001F3A4>
👩‍🎤,woman_singer,<U+0001F469><U+200D><U+0001F3A4>
🧑‍🎨,artist,<U+0001F9D1><U+200D><U+0001F3A8>
👨‍🎨,man_artist,<U+0001F468><U+200D><U+0001F3A8>
👩‍🎨,woman_artist,<U+0001F469><U+200D><U+0001F3A8>
🧑‍✈️,pilot,<U+0001F9D1><U+200D><U+2708><U+FE0F>
👨‍✈️,man_pilot,<U+0001F468><U+200D><U+2708><U+FE0F>
👩‍✈️,woman_pilot,<U+0001F469><U+200D><U+2708><U+FE0F>
🧑‍🚀,astronaut,<U+0001F9D1><U+200D><U+0001F680>
👨‍🚀,man_astronaut,<U+0001F468><U+200D><U+0001F680>
👩‍🚀,woman_astronaut,<U+0001F469><U+200D><U+0001F680>
🧑‍🚒,firefighter,<U+0001F9D1><U+200D><U+0001F692>
👨‍🚒,man_firefighter,<U+0001F468><U+200D><U+0001F692>
👩‍🚒,woman_firefighter,<U+0001F469><U+200D><U+0001F692>
👮,police_officer,<U+0001F46E>
👮‍♂️,man_police_officer,<U+0001F46E><U+200D>><U+FE0F>
👮‍♀️,woman_police_officer,<U+0001F46E><U+200D>+<U+FE0F>
🕵️,detective,<U+0001F575><U+FE0F>
🕵️‍♂️,man_detective,<U+0001F575><U+FE0F><U+200D>><U+FE0F>
🕵️‍♀️,woman_detective,<U+0001F575><U+FE0F><U+200D>+<U+FE0F>
💂,guard,<U+0001F482>
💂‍♂️,man_guard,<U+0001F482><U+200D>><U+FE0F>
💂‍♀️,woman_guard,<U+0001F482><U+200D>+<U+FE0F>
👷,construction_worker,<U+0001F477>
👷‍♂️,man_construction_worker,<U+0001F477><U+200D>><U+FE0F>
👷‍♀️,woman_construction_worker,<U+0001F477><U+200D>+<U+FE0F>
🤴,prince,<U+0001F934>
👸,princess,<U+0001F478>
👳,person_wearing_turban,<U+0001F473>
👳‍♂️,man_wearing_turban,<U+0001F473><U+200D>><U+FE0F>
👳‍♀️,woman_wearing_turban,<U+0001F473><U+200D>+<U+FE0F>
👲,man_with_skullcap,<U+0001F472>
🧕,woman_with_headscarf,<U+0001F9D5>
🤵,man_in_tuxedo,<U+0001F935>
👰,bride_with_veil,<U+0001F470>
🤰,pregnant_woman,<U+0001F930>
🤱,breast_feeding,<U+0001F931>
👼,baby_angel,<U+0001F47C>
🎅,santa_claus,<U+0001F385>
🤶,mrs_claus,<U+0001F936>
🦸,superhero,<U+0001F9B8>
🦸‍♂️,man_superhero,<U+0001F9B8><U+200D>><U+FE0F>
🦸‍♀️,woman_superhero,<U+0001F9B8><U+200D>+<U+FE0F>
🦹,supervillain,<U+0001F9B9>
🦹‍♂️,man_supervillain,<U+0001F9B9><U+200D>><U+FE0F>
🦹‍♀️,woman_supervillain,<U+0001F9B9><U+200D>+<U+FE0F>
🧙,mage,<U+0001F9D9>
🧙‍♂️,man_mage,<U+0001F9D9><U+200D>><U+FE0F>
🧙‍♀️,woman_mage,<U+0001F9D9><U+200D>+<U+FE0F>
🧚,fairy,<U+0001F9DA>
🧚‍♂️,man_fairy,<U+0001F9DA><U+200D>><U+FE0F>
🧚‍♀️,woman_fairy,<U+0001F9DA><U+200D>+<U+FE0F>
🧛,vampire,<U+0001F9DB>
🧛‍♂️,man_vampire,<U+0001F9DB><U+200D>><U+FE0F>
🧛‍♀️,woman_vampire,<U+0001F9DB><U+200D>+<U+FE0F>
🧜,merperson,<U+0001F9DC>
🧜‍♂️,merman,<U+0001F9DC><U+200D>><U+FE0F>
🧜‍♀️,mermaid,<U+0001F9DC><U+200D>+<U+FE0F>
🧝,elf,<U+0001F9DD>
🧝‍♂️,man_elf,<U+0001F9DD><U+200D>><U+FE0F>
🧝‍♀️,woman_elf,<U+0001F9DD><U+200D>+<U+FE0F>
🧞,genie,<U+0001F9DE>
🧞‍♂️,man_genie,<U+0001F9DE><U+200D>><U+FE0F>
🧞‍♀️,woman_genie,<U+0001F9DE><U+200D>+<U+FE0F>
🧟,zombie,<U+0001F9DF>
🧟‍♂️,man_zombie,<U+0001F9DF><U+200D>><U+FE0F>
🧟‍♀️,woman_zombie,<U+0001F9DF><U+200D>+<U+FE0F>
💆,person_getting_massage,<U+0001F486>
💆‍♂️,man_getting_massage,<U+0001F486><U+200D>><U+FE0F>
💆‍♀️,woman_getting_massage,<U+0001F486><U+200D>+<U+FE0F>
💇,person_getting_haircut,<U+0001F487>
💇‍♂️,man_getting_haircut,<U+0001F487><U+200D>><U+FE0F>
💇‍♀️,woman_getting_haircut,<U+0001F487><U+200D>+<U+FE0F>
🚶,person_walking,<U+0001F6B6>
🚶‍♂️,man_walking,<U+0001F6B6><U+200D>><U+FE0F>
🚶‍♀️,woman_walking,<U+0001F6B6><U+200D>+<U+FE0F>
🧍,person_standing,<U+0001F9CD>
🧍‍♂️,man_standing,<U+0001F9CD><U+200D>><U+FE0F>
🧍‍♀️,woman_standing,<U+0001F9CD><U+200D>+<U+FE0F>
🧎,person_kneeling,<U+0001F9CE>
🧎‍♂️,man_kneeling,<U+0001F9CE><U+200D>><U+FE0F>
🧎‍♀️,woman_kneeling,<U+0001F9CE><U+200D>+<U+FE0F>
🧑‍🦯,person_with_probing_cane,<U+0001F9D1><U+200D><U+0001F9AF>
👨‍🦯,man_with_probing_cane,<U+0001F468><U+200D><U+0001F9AF>
👩‍🦯,woman_with_probing_cane,<U+0001F469><U+200D><U+0001F9AF>
🧑‍🦼,person_in_motorized_wheelchair,<U+0001F9D1><U+200D><U+0001F9BC>
👨‍🦼,man_in_motorized_wheelchair,<U+0001F468><U+200D><U+0001F9BC>
👩‍🦼,woman_in_motorized_wheelchair,<U+0001F469><U+200D><U+0001F9BC>
🧑‍🦽,person_in_manual_wheelchair,<U+0001F9D1><U+200D><U+0001F9BD>
👨‍🦽,man_in_manual_wheelchair,<U+0001F468><U+200D><U+0001F9BD>
👩‍🦽,woman_in_manual_wheelchair,<U+0001F469><U+200D><U+0001F9BD>
🏃,person_running,<U+0001F3C3>
🏃‍♂️,man_running,<U+0001F3C3><U+200D>><U+FE0F>
🏃‍♀️,woman_running,<U+0001F3C3><U+200D>+<U+FE0F>
💃,woman_dancing,<U+0001F483>
🕺,man_dancing,<U+0001F57A>
🕴️,man_in_suit_levitating,<U+0001F574><U+FE0F>
👯,people_with_bunny_ears,<U+0001F46F>
👯‍♂️,men_with_bunny_ears,<U+0001F46F><U+200D>><U+FE0F>
👯‍♀️,women_with_bunny_ears,<U+0001F46F><U+200D>+<U+FE0F>
🧖,person_in_steamy_room,<U+0001F9D6>
🧖‍♂️,man_in_steamy_room,<U+0001F9D6><U+200D>><U+FE0F>
🧖‍♀️,woman_in_steamy_room,<U+0001F9D6><U+200D>+<U+FE0F>
🧗,person_climbing,<U+0001F9D7>
🧗‍♂️,man_climbing,<U+0001F9D7><U+200D>><U+FE0F>
🧗‍♀️,woman_climbing,<U+0001F9D7><U+200D>+<U+FE0F>
🤺,person_fencing,<U+0001F93A>
🏇,horse_racing,<U+0001F3C7>
⛷️,skier,<U+26F7><U+FE0F>
🏂,snowboarder,<U+0001F3C2>
🏌️,person_golfing,<U+0001F3CC><U+FE0F>
🏌️‍♂️,man_golfing,<U+0001F3CC><U+FE0F><U+200D>><U+FE0F>
🏌️‍♀️,woman_golfing,<U+0001F3CC><U+FE0F><U+200D>+<U+FE0F>
🏄,person_surfing,<U+0001F3C4>
🏄‍♂️,man_surfing,<U+0001F3C4><U+200D>><U+FE0F>
🏄‍♀️,woman_surfing,<U+0001F3C4><U+200D>+<U+FE0F>
🚣,person_rowing_boat,<U+0001F6A3>
🚣‍♂️,man_rowing_boat,<U+0001F6A3><U+200D>><U+FE0F>
🚣‍♀️,woman_rowing_boat,<U+0001F6A3><U+200D>+<U+FE0F>
🏊,person_swimming,<U+0001F3CA>
🏊‍♂️,man_swimming,<U+0001F3CA><U+200D>><U+FE0F>
🏊‍♀️,woman_swimming,<U+0001F3CA><U+200D>+<U+FE0F>
⛹️,person_bouncing_ball,<U+26F9><U+FE0F>
⛹️‍♂️,man_bouncing_ball,<U+26F9><U+FE0F><U+200D>><U+FE0F>
⛹️‍♀️,woman_bouncing_ball,<U+26F9><U+FE0F><U+200D>+<U+FE0F>
🏋️,person_lifting_weights,<U+0001F3CB><U+FE0F>
🏋️‍♂️,man_lifting_weights,<U+0001F3CB><U+FE0F><U+200D>><U+FE0F>
🏋️‍♀️,woman_lifting_weights,<U+0001F3CB><U+FE0F><U+200D>+<U+FE0F>
🚴,person_biking,<U+0001F6B4>
🚴‍♂️,man_biking,<U+0001F6B4><U+200D>><U+FE0F>
🚴‍♀️,woman_biking,<U+0001F6B4><U+200D>+<U+FE0F>
🚵,person_mountain_biking,<U+0001F6B5>
🚵‍♂️,man_mountain_biking,<U+0001F6B5><U+200D>><U+FE0F>
🚵‍♀️,woman_mountain_biking,<U+0001F6B5><U+200D>+<U+FE0F>
🤸,person_cartwheeling,<U+0001F938>
🤸‍♂️,man_cartwheeling,<U+0001F938><U+200D>><U+FE0F>
🤸‍♀️,woman_cartwheeling,<U+0001F938><U+200D>+<U+FE0F>
🤼,people_wrestling,<U+0001F93C>
🤼‍♂️,men_wrestling,<U+0001F93C><U+200D>><U+FE0F>
🤼‍♀️,women_wrestling,<U+0001F93C><U+200D>+<U+FE0F>
🤽,person_playing_water_polo,<U+0001F93D>
🤽‍♂️,man_playing_water_polo,<U+0001F93D><U+200D>><U+FE0F>
🤽‍♀️,woman_playing_water_polo,<U+0001F93D><U+200D>+<U+FE0F>
🤾,person_playing_handball,<U+0001F93E>
🤾‍♂️,man_playing_handball,<U+0001F93E><U+200D>><U+FE0F>
🤾‍♀️,woman_playing_handball,<U+0001F93E><U+200D>+<U+FE0F>
🤹,person_juggling,<U+0001F939>
🤹‍♂️,man_juggling,<U+0001F939><U+200D>><U+FE0F>
🤹‍♀️,woman_juggling,<U+0001F939><U+200D>+<U+FE0F>
🧘,person_in_lotus_position,<U+0001F9D8>
🧘‍♂️,man_in_lotus_position,<U+0001F9D8><U+200D>><U+FE0F>
🧘‍♀️,woman_in_lotus_position,<U+0001F9D8><U+200D>+<U+FE0F>
🛀,person_taking_bath,<U+0001F6C0>
🛌,person_in_bed,<U+0001F6CC>
🧑‍🤝‍🧑,people_holding_hands,<U+0001F9D1><U+200D><U+0001F91D><U+200D><U+0001F9D1>
👭,women_holding_hands,<U+0001F46D>
👫,woman_and_man_holding_hands,<U+0001F46B>
👬,men_holding_hands,<U+0001F46C>
💏,kiss,<U+0001F48F>
👩‍❤️‍💋‍👨,kiss_woman_man,<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F468>
👨‍❤️‍💋‍👨,kiss_man_man,<U+0001F468><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F468>
👩‍❤️‍💋‍👩,kiss_woman_woman,<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F48B><U+200D><U+0001F469>
💑,couple_with_heart,<U+0001F491>
👩‍❤️‍👨,couple_with_heart_woman_man,<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F468>
👨‍❤️‍👨,couple_with_heart_man_man,<U+0001F468><U+200D><U+2764><U+FE0F><U+200D><U+0001F468>
👩‍❤️‍👩,couple_with_heart_woman_woman,<U+0001F469><U+200D><U+2764><U+FE0F><U+200D><U+0001F469>
👪,family,<U+0001F46A>
👨‍👩‍👦,family_man_woman_boy,<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F466>
👨‍👩‍👧,family_man_woman_girl,<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467>
👨‍👩‍👧‍👦,family_man_woman_girl_boy,<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466>
👨‍👩‍👦‍👦,family_man_woman_boy_boy,<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F466><U+200D><U+0001F466>
👨‍👩‍👧‍👧,family_man_woman_girl_girl,<U+0001F468><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F467>
👨‍👨‍👦,family_man_man_boy,<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F466>
👨‍👨‍👧,family_man_man_girl,<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467>
👨‍👨‍👧‍👦,family_man_man_girl_boy,<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F466>
👨‍👨‍👦‍👦,family_man_man_boy_boy,<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F466><U+200D><U+0001F466>
👨‍👨‍👧‍👧,family_man_man_girl_girl,<U+0001F468><U+200D><U+0001F468><U+200D><U+0001F467><U+200D><U+0001F467>
👩‍👩‍👦,family_woman_woman_boy,<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F466>
👩‍👩‍👧,family_woman_woman_girl,<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467>
👩‍👩‍👧‍👦,family_woman_woman_girl_boy,<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F466>
👩‍👩‍👦‍👦,family_woman_woman_boy_boy,<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F466><U+200D><U+0001F466>
👩‍👩‍👧‍👧,family_woman_woman_girl_girl,<U+0001F469><U+200D><U+0001F469><U+200D><U+0001F467><U+200D><U+0001F467>
